proteins,PDAC,PDAC_DB,PDAC_DB.1,PDAC_DB.2,PDAC_t,PDAC_t.1,PDAC_t.2,PDAC_t.3,PDAC_t.4,PDAC_t.5,PDAC_t.6,PDAC_t.7,PDAC_t.8,PDAC_t.9,PDAC.1,PDAC.10,PDAC.11,PDAC.12,PDAC.13,PDAC.14,PDAC.15,PDAC.16,PDAC.17,PDAC.18,PDAC.19,PDAC.2,PDAC.20,PDAC.21,PDAC.22,PDAC.23,PDAC.24,PDAC.25,PDAC.26,PDAC.27,PDAC.28,PDAC.29,PDAC.3,PDAC.30,PDAC.31,PDAC.32,PDAC.33,PDAC.34,PDAC.35,PDAC.36,PDAC.37,PDAC.38,PDAC.39,PDAC.4,PDAC.40,PDAC.41,PDAC.42,PDAC.43,PDAC.44,PDAC.5,PDAC.6,PDAC.7,PDAC.8,PDAC.9
E9PAV3,0.391884282,0.215110358,0.176196118,0.165421589,0.857365014,-0.362358241,-0.045296028,-0.658123526,-0.663940625,0.320455641,-0.163845567,0.224419379,0.70968741,0.016174572,0.919439062,0.870228728,0.319227628,0.360926948,0.223428359,0.678872017,-0.463333799,0.181056846,-0.566724337,-0.808074478,0.233426382,0.248047645,0.118635595,0.882612603,-0.10122264,0.602824086,-1.702896104,-0.591126967,0.916230169,0.467528402,0.529165547,0.400943264,-0.927619448,-0.515224631,-1.419951952,-0.125609648,0.795315428,-0.037956859,-1.236417752,0.565027434,0.098270035,0.352659443,0.649474879,0.658803388,0.647454514,-0.930722759,0.205344148,0.756357824,-0.250415491,0.178430994,0.572657237,0.112293654,0.506731089,0.094528011
O00151,-0.092673278,0.269130129,-0.027211453,-0.29579444,-0.148724647,-0.140390968,0.03454352,-0.040346169,-0.001809532,0.014634555,0.059612807,-0.13330636,-0.078629029,0.040384038,-0.024955614,-0.016819337,0.094373173,-0.010246502,-0.045603002,0.096923591,0.065486454,0.067585784,0.093474037,-0.093241783,-0.111989554,0.074219206,0.083764812,0.025048562,0.040606,-0.001995774,0.080344372,-0.108661041,0.069593281,0.023013994,-0.058953051,0.034798328,0.08404485,0.106535354,0.008012825,0.130271544,-0.034959558,0.091271447,0.052539447,-0.114046634,-0.070702466,-0.029452631,-0.163555749,-0.106487587,-0.044667176,0.059953543,0.030146928,-0.150919021,0.09913285,0.098964401,-0.062259833,0.010952887,0.035224507,-0.037367439
O00159,0.573302424,0.467779553,0.490021567,0.597930581,-0.095689619,0.596473469,1.140722466,0.8731264,1.204288633,0.278005227,0.707632587,0.405714703,-0.108024283,0.006032621,0.414284203,-0.077638122,0.686810817,0.154264893,0.069776131,0.367930335,0.288601271,0.575751598,0.246075194,0.152846925,0.320553436,0.707852668,0.317907297,0.604862715,0.355666157,0.301036764,0.261839768,0.213127948,0.168227009,0.103603313,0.107374021,0.095071202,0.079955308,0.051663454,0.007724378,0.240160675,0.223920193,0.036399547,-0.078578169,0.28128715,0.017620671,0.451461304,0.715036584,0.580659408,0.141913243,0.048191431,0.090419801,0.548707394,0.170944461,0.665270971,0.47044761,-0.844611943,0.115813826,0.489138192
O00231,0.020035238,-0.413157167,-0.343118967,-0.438358539,-0.60470485,-0.095254455,0.288389343,-0.128386414,-0.097724299,-0.09402396,-0.38336243,-0.562198122,-0.211644757,-0.607086411,-0.247459725,-0.330340022,-0.105258776,-0.012788544,0.00625651,-0.223911942,-0.132583994,-0.088882234,-0.017052491,-0.028024847,-0.120966652,-0.028476349,0.031485465,-0.49663483,-0.222273163,-0.346991234,-0.293285127,0.037192847,-0.18676306,-0.072800474,-0.229812475,-0.307893259,-0.289584649,0.115560612,-0.187838736,0.15772728,-0.365170414,0.121218726,-0.053042098,-0.118964638,0.153301306,0.216342484,-0.059265363,-0.220336468,0.405521068,0.058258122,-0.168836582,-0.103089659,-0.359329297,-0.081771999,-0.038888119,-0.302567799,-0.123200012,-0.020197538
O00232,-0.030933799,-0.380147737,-0.421888707,-0.320070364,-0.830734883,-0.156435346,-1.218439196,-0.095723754,-1.108696412,-0.790373171,-0.316445285,-0.012172063,-0.813335644,0.279074989,-0.330877559,0.004654475,-0.049866297,-0.392160149,-0.003366766,0.036606167,-0.013600567,-0.011501236,-0.898533961,-0.198020165,-0.3031547,-0.371160063,0.017345818,-0.426282672,-0.203781386,-0.050696629,-0.057693285,0.027569571,-0.793868677,-0.056073027,-0.052302318,-0.103239329,-0.053992807,-0.885472645,0.035588207,-0.733190414,-0.083660413,-0.900736552,-0.085498211,0.022183978,-0.737616387,-0.009712772,-0.050913917,-0.303754302,-0.384055345,-0.019133477,-0.10789073,0.19523961,-0.038904807,-0.878685326,-0.089857156,-0.294969059,-0.043862513,-0.071166575
O00244,-2.143141554,-0.880631317,0.927656071,-1.003807583,0.684903364,-1.454612457,0.746607725,-0.286739699,-0.896592982,0.659919768,-0.267214787,-1.092853451,0.992031554,-1.210693469,-1.773835424,-0.717638912,-1.907934698,-1.595246853,-1.773720388,-1.08034583,-1.055555982,-1.340610503,0.839271725,-0.38442823,-1.360421728,-1.33397708,-1.283877955,-0.316583575,0.010147546,-1.650797024,-0.994414668,-1.742784052,0.685498962,-0.652160196,-0.648389488,-1.431541016,-1.382294494,0.322284852,-1.138296354,0.746177225,-1.265269305,0.837069135,-1.022219594,-1.563897868,0.741751251,-1.119193953,-1.380023183,-1.746712168,-0.792009248,-1.061088892,-0.642111048,-1.689279936,-0.975626191,0.901330207,-1.298377248,-1.325729638,-0.639949683,-0.901191605
O00264,0.78647198,1.066571656,1.049373306,0.872986474,0.448171989,0.784892013,0.206366069,0.694748448,0.546198357,0.966114091,0.667034592,0.432833335,0.654981834,0.701461665,0.518651315,0.153467166,0.687549951,-0.252266517,0.795352516,0.967181214,0.61517171,0.625994573,1.028169645,0.828650855,0.638814585,0.632627996,1.161255797,0.539009093,0.732537943,-1.318384462,0.439810072,0.739772245,1.062806095,1.029615676,0.106481456,0.762573846,0.895970518,0.99876866,0.413921408,1.123952535,0.752568967,1.10194535,0.534269605,1.082324393,0.699521783,0.60797862,0.147806264,0.018555906,0.463301123,1.702148336,0.996046864,0.633609019,1.214354834,1.290775025,0.656494015,-0.712624586,0.847471397,0.92107437
O00264,0.330109729,1.227037787,1.166633933,1.353354206,-1.484831605,-0.885996651,-0.673632619,1.484305569,0.568983072,-2.870332373,0.893701013,-2.437046408,-1.883986325,0.988877904,1.235944014,0.437806929,0.311177231,0.31699789,0.429785688,0.46975862,-1.001127223,0.403665141,-1.673577927,-0.563853395,1.263666873,1.375357293,0.450498272,1.320234684,-0.950260239,-0.244809232,-0.949279434,0.460722025,-1.419376761,1.32415208,0.362864059,0.458213108,-0.909511008,-1.660516611,-0.669417616,-1.358698499,0.277383116,-1.675780518,-0.941016411,0.609086151,-1.363124472,0.445781497,0.36425246,1.26306727,0.397403281,-0.782242505,0.253152799,1.094701012,-0.068676449,-1.793420338,0.271186372,1.271852514,0.371303864,0.289876953
O00299,0.906312205,0.488137279,0.352628001,0.344665365,-0.653286487,-0.4981276,-0.615752809,-0.58414191,0.289308527,-2.168315711,0.342352334,-0.389489275,-2.438090445,-0.067139285,0.148290688,0.184864395,0.695039139,0.11308694,0.975236747,0.528279187,0.388977193,0.491850589,-0.334339725,0.732098709,-0.659377289,1.20870746,-0.028291778,0.421127153,0.552565942,0.124574319,-0.623919493,0.069876887,-0.791189934,-0.049163998,0.434835854,-0.32556984,-1.011257232,0.307961373,0.299794227,-0.959064132,0.760328698,-0.943746019,-0.432251941,0.750849887,-0.316549678,1.207284348,0.631663198,0.13241832,0.853224683,0.58464532,-0.092481197,0.328451343,-1.212121475,-0.193524307,0.943068402,0.644053678,0.17338077,0.67610513
O00303,-0.462616573,0.301918124,0.379650802,0.004180975,0.675958003,0.723125226,0.790167558,0.503401609,-0.694676575,0.635871057,-0.080681072,0.438890166,1.461705594,0.007311399,0.71588444,0.863335362,0.150248524,0.418694921,-0.64898866,-0.576982475,-0.118148574,-0.830531795,-0.130539801,0.272856483,0.9269895,-1.864003255,0.016114819,-0.021069052,-0.012412391,-0.31173206,-0.831404683,-0.05562366,0.008957745,-0.083825186,0.292911247,0.330629822,-0.592164374,0.525328064,0.568074596,0.746053672,0.48201404,0.395455962,-1.065448645,-0.681256013,1.077639664,-0.003968881,-0.501178856,0.375710303,-0.06203094,-1.570732545,0.232697219,0.364424559,-0.897605796,1.49726909,-0.326358374,0.409352724,0.116310458,-0.330332346
